Date,FTIEX
2022-01-31,-0.028003613369467106
2022-02-28,-0.04925650557620809
2022-03-31,-0.011730205278592476
2022-04-30,-0.0642927794263104
2022-05-31,0.01691331923890038
2022-06-30,-0.08419958419958407
2022-07-31,0.04086265607264461
2022-08-31,-0.03925845147219187
2022-09-30,-0.09761634506242911
2022-10-31,0.040251572327044016
2022-11-30,0.1378476420798067
2022-12-31,-0.02444208289054206
2023-01-31,0.08714596949891074
2023-02-28,-0.04208416833667339
2023-03-31,0.023012552301255207
2023-04-30,0.013292433537832382
2023-05-31,-0.03128153380423815
2023-06-30,0.04895833333333344
2023-07-31,0.0347567030784508
2023-08-31,-0.040307101727447225
2023-09-30,-0.03599999999999992
2023-10-31,-0.032157676348547715
2023-11-30,0.090032154340836
2023-12-31,0.05014749262536866
2024-01-31,-0.014981273408239737
2024-02-29,0.035171102661597065
2024-03-31,0.04224058769513306
2024-04-30,-0.023788546255506526
2024-05-31,0.041516245487364545
2024-06-30,-0.006932409012131546
2024-07-31,0.02006980802792313
2024-08-31,0.021385799828913532
2024-09-30,0.025125628140703515
2024-10-31,-0.042483660130718914
2024-11-30,-0.0008532423208190698
