Date,FSHCX
2022-01-31,-0.08132476343510087
2022-02-28,0.04431056262753863
2022-03-31,0.06318042244347266
2022-04-30,-0.042622089970243304
2022-05-31,-0.009964347746594826
2022-06-30,-0.02280701754385961
2022-07-31,0.09685344420296693
2022-08-31,-0.027136457615437592
2022-09-30,-0.03258655804480659
2022-10-31,0.07816933638443935
2022-11-30,-0.008489685032685323
2022-12-31,-0.03253703228016103
2023-01-31,-0.002920612443579107
2023-02-28,-0.052014912124977775
2023-03-31,-0.017602996254681647
2023-04-30,0.04937094929470076
2023-05-31,-0.04477747502270657
2023-06-30,0.04411904535513922
2023-07-31,0.01712048083052542
2023-08-31,-0.05219804816903928
2023-09-30,0.021915737766861954
2023-10-31,0.02024403771491956
2023-11-30,0.006251698831204022
2023-12-31,0.03277507653520617
2024-01-31,-0.021534437663469963
2024-02-29,0.0309186492025304
2024-03-31,0.022385479688850518
2024-04-30,-0.062219967875560056
2024-05-31,-0.00585955106824132
2024-06-30,-0.012513601741022784
2024-07-31,0.08200183654729098
2024-08-31,0.01671900195196474
2024-09-30,-0.015525876460767973
2024-10-31,-0.08428014244531112
2024-11-30,0.04972222222222222
