Date,FISMX
2022-01-31,-0.02934463645255958
2022-02-28,-0.0278804165267047
2022-03-31,-0.013476157567380853
2022-04-30,-0.0525394045534151
2022-05-31,0.013678373382624898
2022-06-30,-0.0904449307075128
2022-07-31,0.030874097834803438
2022-08-31,-0.04823026059898883
2022-09-30,-0.10584389047813647
2022-10-31,0.06032906764168189
2022-11-30,0.1051724137931036
2022-12-31,-0.0031201248049922414
2023-01-31,0.07785602503912381
2023-02-28,-0.00943738656987303
2023-03-31,0.016123122022718928
2023-04-30,0.010457987738910823
2023-05-31,-0.02212705210563881
2023-06-30,0.027737226277372296
2023-07-31,0.0390625
2023-08-31,-0.03007518796992492
2023-09-30,-0.034178999295278345
2023-10-31,-0.041955490696825914
2023-11-30,0.08758568164508751
2023-12-31,0.07072829131652658
2024-01-31,-0.013080444735120933
2024-02-29,0.013253810470510219
2024-03-31,0.03106605624591241
2024-04-30,-0.02315255312400888
2024-05-31,0.03896103896103886
2024-06-30,-0.01749999999999996
2024-07-31,0.03625954198473269
2024-08-31,0.011970534069981609
2024-09-30,0.010615711252653925
2024-10-31,-0.06272509003601445
2024-11-30,-0.0019212295869356355
