Date,FSGGX
2022-01-31,-0.024893314366998598
2022-02-28,-0.03355215171407733
2022-03-31,-0.0030188679245282124
2022-04-30,-0.06434519303557917
2022-05-31,0.016990291262136026
2022-06-30,-0.08194112967382661
2022-07-31,0.03379549393414227
2022-08-31,-0.04107292539815588
2022-09-30,-0.09965034965034958
2022-10-31,0.03592233009708723
2022-11-30,0.1377694470477977
2022-12-31,-0.023887973640856708
2023-01-31,0.08523206751054846
2023-02-28,-0.0419906687402799
2023-03-31,0.02922077922077926
2023-04-30,0.018927444794952786
2023-05-31,-0.03637770897832826
2023-06-30,0.04497991967871484
2023-07-31,0.0368946963873944
2023-08-31,-0.044477390659747984
2023-09-30,-0.03413498836307227
2023-10-31,-0.03373493975903619
2023-11-30,0.08395677472984198
2023-12-31,0.049846625766871266
2024-01-31,-0.01607012417823217
2024-02-29,0.031922791388270255
2024-03-31,0.031654676258992875
2024-04-30,-0.023012552301255207
2024-05-31,0.03354746609564607
2024-06-30,0.0
2024-07-31,0.024861878453038555
2024-08-31,0.026280323450134757
2024-09-30,0.024294156270518563
2024-10-31,-0.04743589743589749
2024-11-30,-0.004710632570659512
