Date,FSPSX
2022-01-31,-0.038069942452412575
2022-02-28,-0.031063046479521406
2022-03-31,0.0009498931370219843
2022-04-30,-0.06571767497034386
2022-05-31,0.01929913661757232
2022-06-30,-0.0904334828101645
2022-07-31,0.05121884415228717
2022-08-31,-0.057321521625846916
2022-09-30,-0.09452736318407962
2022-10-31,0.05921855921855945
2022-11-30,0.13717579250720457
2022-12-31,-0.01799290420679167
2023-01-31,0.08490322580645149
2023-02-28,-0.02901998097050429
2023-03-31,0.03086722195002456
2023-04-30,0.027566539923954414
2023-05-31,-0.03931544865864944
2023-06-30,0.04525758305247951
2023-07-31,0.02763703362505754
2023-08-31,-0.03787539220080671
2023-09-30,-0.03587235033775915
2023-10-31,-0.03213336554723356
2023-11-30,0.08537194208686949
2023-12-31,0.054277828886844626
2024-01-31,-0.003490401396160636
2024-02-29,0.027364273204903755
2024-03-31,0.03345408054549326
2024-04-30,-0.03072164948453615
2024-05-31,0.038502446288023906
2024-06-30,-0.009422367882015559
2024-07-31,0.029569892473118253
2024-08-31,0.03354087166097619
2024-09-30,0.008356004663816474
2024-10-31,-0.05511659279244552
2024-11-30,-0.0020395676116663486
