Date,FGILX
2022-01-31,-0.022805017103762704
2022-02-28,-0.019253208868144744
2022-03-31,0.011302795954788891
2022-04-30,-0.04941176470588238
2022-05-31,0.003712871287128605
2022-06-30,-0.07213316892725019
2022-07-31,0.05448504983388691
2022-08-31,-0.042218021424070606
2022-09-30,-0.08486842105263148
2022-10-31,0.0826743350107837
2022-11-30,0.07038512616201853
2022-12-31,-0.04156327543424332
2023-01-31,0.056310679611650594
2023-02-28,-0.026348039215686292
2023-03-31,0.03083700440528614
2023-04-30,0.015262515262515208
2023-05-31,-0.02285027059530964
2023-06-30,0.04800000000000004
2023-07-31,0.022900763358778553
2023-08-31,-0.03042479908151552
2023-09-30,-0.03670811130846663
2023-10-31,-0.025199754148739983
2023-11-30,0.07503152585119799
2023-12-31,0.04516129032258065
2024-01-31,0.004489337822671136
2024-02-29,0.03463687150838002
2024-03-31,0.0356371490280778
2024-04-30,-0.0307612095933264
2024-05-31,0.04303388918773532
2024-06-30,-0.00206291903042799
2024-07-31,0.03359173126614978
2024-08-31,0.02750000000000008
2024-09-30,0.009732360097323589
2024-10-31,-0.02795180722891555
2024-11-30,0.04065443728309348
